marea_id,number_of_calas,total_catch
146412,2,120
148035,7,240
144148,3,33
147394,2,110
147145,1,90
148227,2,90
144540,2,90
145081,4,140
146163,1,30
147786,2,120
144689,2,110
145187,1,190
144938,4,70
146853,4,50
145287,1,240
145330,1,90
144789,1,70
144646,1,30
144397,3,200
145479,2,65
146561,1,40
144497,1,180
145038,3,105
145579,2,310
147202,9,285
146120,2,80
146661,1,40
144686,1,30
148599,1,0
144709,1,100
147580,1,20
145373,1,85
146584,2,140
148576,2,150
146916,5,330
147912,2,160
144663,3,280
144185,4,230
144855,1,15
147434,2,70
146106,1,60
146183,1,50
144168,4,476
144832,1,30
147457,6,270
148121,4,160
146724,1,30
146893,7,400
144878,1,40
145419,4,95
146870,1,55
145937,2,200
147265,5,400
145356,3,150
146352,1,30
145250,2,130
144918,2,60
147371,1,30
146043,2,120
146246,2,110
145058,2,60
144726,2,290
148559,1,35
144122,4,44
144517,2,60
145851,1,50
144772,1,60
147517,2,290
146438,1,20
144623,3,160
145502,2,105
145164,1,420
145459,3,90
148453,2,35
146830,3,100
144815,4,360
145310,2,180
145897,3,45
147474,2,200
146392,2,60
146979,2,40
144271,1,110
148516,1,30
144580,1,40
145313,2,60
145980,5,100
146309,2,80
146976,1,80
144294,1,10
145290,2,180
146286,2,35
146999,1,15
147995,2,30
145270,2,360
147019,1,90
146521,2,40
145121,3,70
147285,5,300
147826,2,110
146478,1,40
145247,2,350
145788,1,110
146501,2,100
148493,2,40
145439,4,340
147348,2,270
146850,1,170
144145,1,11
148473,2,40
148144,4,180
144208,4,430
144749,2,110
144835,1,20
145831,1,70
147454,3,450
148536,2,70
144600,3,120
144643,3,90
146807,2,80
144792,3,220
144251,4,340
145333,1,90
146415,1,90
145874,2,55
148579,1,30
146956,2,110
148038,4,350
145113,5,400
144449,2,270
145777,1,20
146441,1,65
145090,3,70
144403,1,35
144234,2,180
145067,1,60
147320,7,300
147984,3,90
144257,3,380
144380,2,90
144921,4,66
148007,3,250
144526,2,85
144775,1,30
148107,3,60
147420,1,90
146092,1,30
147715,3,160
144821,2,75
148153,1,60
144134,4,48
147466,2,30
145462,1,50
148548,2,110
144280,1,40
145946,1,10
145359,3,100
147523,1,80
147861,1,30
144967,3,30
145508,3,360
148502,2,10
146633,1,20
146836,2,60
147174,2,70
147961,4,210
145405,1,15
146487,1,60
145654,2,65
145900,2,45
146733,2,280
146982,1,20
147815,2,50
144718,3,190
145800,2,110
146046,3,70
145259,4,65
146587,2,100
146341,4,105
144864,2,180
146690,2,110
145528,1,95
146026,1,40
145385,3,380
146049,2,105
146879,3,70
144652,1,120
145316,1,50
147735,3,360
147071,5,210
146238,1,50
144675,1,50
147712,2,105
145857,2,55
144483,4,360
148568,2,120
144360,2,75
147443,4,110
147941,5,720
144254,3,100
145926,3,130
148084,3,140
145820,2,30
145485,2,85
146567,1,30
144552,2,110
145093,2,40
147835,3,105
144695,2,40
144944,1,25
146610,2,110
146361,1,65
146859,3,290
144303,2,180
146461,4,140
144844,2,200
146467,3,120
147002,2,25
148625,2,125
144154,3,36
144987,3,150
146069,2,50
146318,2,250
148482,2,50
147151,2,150
145087,2,190
146169,2,30
147251,2,30
147300,3,310
146759,3,40
146710,1,40
147792,3,90
147841,2,70
144947,1,55
145943,1,15
146275,3,70
146939,2,310
144260,3,60
144924,2,100
146252,2,50
145989,2,40
146653,1,90
146985,1,20
147981,1,90
145966,2,35
146962,1,70
144778,1,50
147440,1,30
146112,4,350
145465,6,380
147463,4,480
148127,2,40
144237,3,170
144214,1,110
144755,2,290
147632,3,70
144609,3,230
144277,4,290
146530,2,100
148605,3,40
144715,3,150
144383,2,130
146590,1,50
148545,1,20
147918,1,15
145903,2,80
146398,2,90
144861,3,50
146444,1,70
148110,2,130
144131,2,20
144174,3,357
144469,1,70
145010,2,90
145797,1,180
146338,3,90
148459,3,90
147131,2,160
144818,3,150
148064,3,170
145362,4,130
146358,2,140
146856,1,30
148777,2,65
147377,1,90
144320,1,220
146570,1,50
148067,4,200
144343,1,60
145339,1,30
148044,4,120
144363,1,20
146029,2,30
144629,2,190
147334,1,50
145319,4,340
146401,3,250
147068,2,50
148565,1,55
144386,4,320
146550,1,150
145296,3,170
145837,1,50
146378,1,70
148542,1,0
147091,1,60
144194,1,200
144692,2,150
148522,1,10
146613,2,100
147111,1,300
144406,2,80
148734,6,320
145817,4,300
145488,2,70
146899,2,30
144884,2,30
144798,2,180
146421,1,100
145880,1,85
145425,2,70
146507,2,50
148130,2,40
145774,1,15
145531,2,170
147938,1,15
144151,3,36
146315,2,40
146072,1,40
144990,5,100
147154,3,240
147397,3,100
148479,2,115
144300,1,125
144841,3,105
145923,3,120
145382,2,70
146464,2,40
148087,1,50
144781,3,340
145445,2,40
146109,3,130
146773,2,200
144758,1,150
145422,2,110
146086,2,420
144735,1,10
145399,1,80
147652,1,20
144589,3,95
144712,3,100
145253,3,280
144612,4,200
145940,2,80
147529,1,90
148193,1,40
145276,1,70
146278,4,100
147606,4,240
144635,3,175
145299,2,75
146301,3,170
146627,2,90
146842,1,80
145963,2,110
146965,1,30
148170,3,380
144240,2,350
144904,5,250
145322,5,500
147314,1,40
145568,2,60
146650,2,40
146155,3,65
145986,1,45
146232,4,90
146819,2,130
146132,3,110
147460,3,75
147337,1,35
146673,3,150
145468,3,300
145591,4,300
146255,4,75
146796,3,280
146919,1,60
148001,3,120
144858,1,90
146696,2,85
147775,2,110
148024,4,210
144217,3,360
148711,5,535
147383,1,80
147088,2,400
145545,3,85
145153,3,80
146481,1,20
148070,3,150
144171,2,18
145794,1,110
148462,6,135
144532,3,60
145030,2,430
146547,3,95
146381,1,30
145883,1,25
147045,2,90
148090,3,70
144317,2,90
148562,1,10
148731,4,220
147898,2,50
145007,2,80
147380,2,85
147257,1,80
146716,3,190
145671,1,105
147921,2,40
147357,3,55
145863,2,200
147855,2,15
147778,2,90
148021,5,210
144340,2,360
145342,4,270
145840,4,250
146504,3,150
146006,4,400
145150,2,25
145983,1,90
145073,1,220
146404,2,70
147237,4,510
145173,4,330
144632,2,150
145050,1,380
144509,1,70
145714,2,90
147755,4,250
147878,8,280
148190,4,130
148439,1,30
144881,1,20
145379,2,85
146424,1,30
148047,2,100
144489,4,110
144738,2,75
145571,2,310
146816,3,140
145130,2,90
146212,3,300
146753,1,15
146175,3,60
147798,3,70
144197,3,250
144297,3,130
144838,3,30
148631,2,80
147008,1,70
144546,1,80
144615,3,90
145611,1,25
145279,1,200
146607,1,140
145588,3,220
147317,3,130
146321,1,200
145302,2,85
147294,2,25
145634,3,85
146298,2,300
