Marea,Planta,Embarcacion,Bodega,% Llenado,# Calas,TDC-Desc,TVN,año,temporada_año
130191,MATARANI,TASA 417,Tradicional,6.0,1,5.62,18.05,2018,2018-I
130220,MATARANI,TASA 416,Tradicional,7.0,1,9.43,24.02,2018,2018-I
130221,MATARANI,TASA 418,Tradicional,6.0,1,13.1,49.19,2018,2018-I
130222,ILO,TASA 425,Frio,5.0,1,26.73,21.51,2018,2018-I
130223,ILO,TASA 43,Frio,10.0,2,25.38,20.38,2018,2018-I
130224,ILO,TASA 21,Estanca,3.0,1,11.33,27.4,2018,2018-I
130225,ILO,TASA 35,Estanca,5.0,1,11.28,18.99,2018,2018-I
130227,ILO,TASA 44,Frio,10.0,2,23.85,21.12,2018,2018-I
130228,MATARANI,TASA 23,Estanca,8.0,1,11.63,46.12,2018,2018-I
130229,MATARANI,TASA 210,Tradicional,5.0,1,9.38,27.74,2018,2018-I
130231,MATARANI,TASA 22,Estanca,5.0,1,6.93,20.21,2018,2018-I
130232,MATARANI,TASA 32,Tradicional,5.0,1,9.13,23.84,2018,2018-I
130233,ILO,TASA 45,Frio,18.0,2,21.53,40.0,2018,2018-I
130234,MATARANI,TASA 34,Estanca,8.0,1,7.48,25.81,2018,2018-I
130235,MATARANI,TASA 37,Estanca,8.0,1,7.25,21.81,2018,2018-I
130236,MATARANI,TASA 426,Tradicional,6.0,1,8.73,28.13,2018,2018-I
130237,MATARANI,TASA 17,Tradicional,10.0,1,10.87,44.89,2018,2018-I
130268,ILO,TASA 415,Estanca,4.0,1,8.75,21.52,2018,2018-I
130269,ILO,TASA 220,Tradicional,8.0,1,6.75,19.22,2018,2018-I
130280,ILO,TASA 34,Estanca,1.0,1,6.37,20.59,2018,2018-I
130755,MATARANI,TASA 411,Tradicional,16.0,2,9.05,20.14,2018,2018-I
130757,MATARANI,TASA 210,Tradicional,9.0,2,14.82,20.18,2018,2018-I
130758,MATARANI,TASA 220,Tradicional,44.0,4,17.0,29.22,2018,2018-I
130760,MATARANI,TASA 426,Tradicional,12.0,3,11.82,25.78,2018,2018-I
130770,MATARANI,TASA 17,Tradicional,13.0,1,9.72,25.18,2018,2018-I
131281,CHIMBOTE,TASA 59,Frio,35.0,3,12.12,15.05,2018,2018-I
131282,SAMANCO,TASA 41,Frio,34.0,4,14.95,20.27,2018,2018-I
131283,CHIMBOTE,TASA 54,Frio,68.0,4,12.87,17.69,2018,2018-I
131284,SAMANCO,TASA 42,Frio,72.0,2,10.9,18.09,2018,2018-I
131285,CHIMBOTE,TASA 218,Estanca,66.0,2,15.88,20.46,2018,2018-I
131286,CHIMBOTE,TASA 424,Tradicional,38.0,3,17.5,26.73,2018,2018-I
131287,CHIMBOTE,TASA 427,Frio,28.0,3,15.37,26.14,2018,2018-I
131288,PISCO NORTE,TASA 411,Tradicional,4.0,1,7.9,14.78,2018,2018-I
131289,PISCO SUR,TASA 416,Tradicional,20.0,3,11.48,16.56,2018,2018-I
131290,CHIMBOTE,TASA 53,Frio,30.0,3,18.33,30.39,2018,2018-I
131291,PISCO NORTE,TASA 43,Frio,4.0,1,11.23,15.0,2018,2018-I
131292,VEGUETA,TASA 36,Estanca,93.0,3,17.4,22.78,2018,2018-I
131293,CHIMBOTE,TASA 315,Tradicional,68.0,2,13.23,21.15,2018,2018-I
131298,CALLAO,TASA 210,Tradicional,91.0,1,6.6,14.85,2018,2018-I
131299,CALLAO,TASA 34,Estanca,63.0,3,11.05,20.99,2018,2018-I
131300,VEGUETA,TASA 35,Estanca,82.0,1,13.85,22.46,2018,2018-I
131304,SUPE,TASA 57,Frio,51.0,4,11.75,16.3,2018,2018-I
131305,CALLAO,TASA 426,Tradicional,60.0,4,18.98,29.27,2018,2018-I
131306,VEGUETA,TASA 38,Tradicional,63.0,3,14.53,22.75,2018,2018-I
131309,CALLAO,TASA 55,Frio,62.0,4,15.18,14.37,2018,2018-I
131310,CALLAO,TASA 419,Frio,62.0,4,13.08,17.4,2018,2018-I
131312,CALLAO,TASA 23,Estanca,81.0,2,13.35,22.18,2018,2018-I
131314,CALLAO,TASA 32,Tradicional,60.0,3,11.45,17.63,2018,2018-I
131315,VEGUETA,TASA 22,Estanca,63.0,2,11.22,23.26,2018,2018-I
131316,SUPE,TASA 56,Frio,67.0,2,10.15,14.61,2018,2018-I
131317,CALLAO,TASA 31,Tradicional,71.0,2,8.02,18.83,2018,2018-I
131319,CALLAO,TASA 111,Tradicional,96.0,1,6.12,14.7,2018,2018-I
131320,CALLAO,TASA 37,Estanca,39.0,3,11.57,22.02,2018,2018-I
131321,VEGUETA,TASA 71,Frio,64.0,2,8.9,17.49,2018,2018-I
131322,CALLAO,TASA 314,Tradicional,54.0,3,7.85,20.12,2018,2018-I
131324,SUPE,TASA 52,Frio,76.0,1,9.23,16.86,2018,2018-I
131325,CALLAO,TASA 17,Tradicional,92.0,2,11.63,19.52,2018,2018-I
131326,CALLAO,TASA 51,Frio,31.0,2,7.25,18.96,2018,2018-I
131709,CHIMBOTE,TASA 111,Tradicional,97.0,2,12.03,21.06,2018,2018-I
131720,MALABRIGO,TASA 57,Frio,73.0,7,37.1,14.03,2018,2018-I
131745,SUPE,TASA 53,Frio,68.0,2,19.62,18.97,2018,2018-I
131752,VEGUETA,TASA 427,Frio,78.0,2,27.9,22.8,2018,2018-I
131758,MALABRIGO,TASA 315,Tradicional,96.0,3,16.95,22.0,2018,2018-I
131761,SUPE,TASA 59,Frio,77.0,4,20.98,24.1,2018,2018-I
131769,PISCO NORTE,TASA 414,Estanca,4.0,1,11.5,24.53,2018,2018-I
131770,SUPE,TASA 419,Frio,71.0,1,14.6,16.06,2018,2018-I
131771,SUPE,TASA 314,Tradicional,16.0,2,9.13,12.26,2018,2018-I
131772,SUPE,TASA 310,Tradicional,20.0,2,9.58,14.16,2018,2018-I
131774,SUPE,TASA 210,Tradicional,16.0,2,10.85,15.47,2018,2018-I
131775,VEGUETA,TASA 32,Tradicional,32.0,2,19.5,19.05,2018,2018-I
131776,VEGUETA,TASA 52,Frio,74.0,3,24.12,26.87,2018,2018-I
131777,SUPE,TASA 34,Estanca,9.0,2,9.18,15.26,2018,2018-I
131778,PISCO NORTE,TASA 411,Tradicional,35.0,3,13.03,25.12,2018,2018-I
131779,PISCO NORTE,TASA 420,Tradicional,18.0,1,12.88,23.69,2018,2018-I
131780,PISCO NORTE,TASA 412,Tradicional,16.0,2,13.73,18.35,2018,2018-I
131781,CALLAO,TASA 44,Frio,11.0,2,13.5,19.54,2018,2018-I
131782,PISCO NORTE,TASA 425,Frio,6.0,1,17.35,17.26,2018,2018-I
131783,PISCO NORTE,TASA 417,Tradicional,13.0,1,16.7,24.59,2018,2018-I
131784,CHIMBOTE,TASA 17,Tradicional,71.0,2,13.83,27.64,2018,2018-I
131785,MALABRIGO,TASA 22,Estanca,91.0,3,17.4,19.84,2018,2018-I
