Marea,Planta,Embarcacion,Bodega,% Llenado,# Calas,TDC-Desc,TVN,año,temporada_año
128244,MALABRIGO,TASA 22,Estanca,22,2,11.53,19.6,2018,2018-II
128245,MALABRIGO,TASA 35,Estanca,21,3,14.58,25.9,2018,2018-II
128246,SUPE,TASA 412,Tradicional,43,2,14.0,24.96,2018,2018-II
128247,MALABRIGO,TASA 21,Estanca,24,2,12.22,25.36,2018,2018-II
128248,MALABRIGO,TASA 37,Estanca,24,2,15.6,24.29,2018,2018-II
128249,MALABRIGO,TASA 411,Tradicional,39,1,11.17,19.54,2018,2018-II
128250,VEGUETA,TASA 44,Frio,59,2,9.63,19.46,2018,2018-II
128251,SUPE,TASA 31,Tradicional,52,3,22.67,29.61,2018,2018-II
128252,MALABRIGO,TASA 17,Tradicional,4,1,9.73,20.02,2018,2018-II
128253,SUPE,TASA 310,Tradicional,60,2,15.77,29.23,2018,2018-II
128255,VEGUETA,TASA 32,Tradicional,35,3,20.62,38.12,2018,2018-II
128256,VEGUETA,TASA 415,Estanca,82,3,15.45,30.13,2018,2018-II
128257,VEGUETA,TASA 416,Tradicional,50,2,20.28,38.71,2018,2018-II
128258,SUPE,TASA 314,Tradicional,20,2,19.47,28.57,2018,2018-II
128260,MALABRIGO,TASA 220,Tradicional,30,3,15.8,24.55,2018,2018-II
128261,VEGUETA,TASA 414,Estanca,30,2,13.57,28.11,2018,2018-II
128262,VEGUETA,TASA 315,Tradicional,22,2,14.65,29.3,2018,2018-II
128263,SUPE,TASA 424,Tradicional,14,1,16.03,26.79,2018,2018-II
128268,VEGUETA,TASA 34,Estanca,31,2,17.18,38.34,2018,2018-II
128269,MALABRIGO,TASA 23,Estanca,15,2,13.57,29.4,2018,2018-II
128270,MALABRIGO,TASA 210,Tradicional,38,3,17.67,29.26,2018,2018-II
128271,MALABRIGO,TASA 111,Tradicional,20,2,17.13,28.1,2018,2018-II
128275,SUPE,TASA 418,Tradicional,11,1,9.57,28.86,2018,2018-II
129992,ILO,TASA 417,Tradicional,4,1,12.25,23.06,2018,2018-II
129993,MATARANI,TASA 411,Tradicional,47,2,7.88,15.54,2018,2018-II
129994,ATICO,TASA 38,Tradicional,18,2,9.32,18.64,2018,2018-II
129995,ATICO,TASA 35,Estanca,10,2,10.08,17.98,2018,2018-II
129996,ILO,TASA 22,Estanca,37,3,20.18,38.31,2018,2018-II
129997,MATARANI,TASA 210,Tradicional,12,2,9.9,21.76,2018,2018-II
129998,ILO,TASA 425,Frio,9,1,9.85,27.16,2018,2018-II
130000,ILO,TASA 34,Estanca,18,2,15.38,30.78,2018,2018-II
130002,ILO,TASA 23,Estanca,14,1,13.63,27.47,2018,2018-II
