Marea,Planta,Embarcacion,Bodega,% Llenado,TDC-Desc,TVN,año,temporada_año,# Calas
144203,VEGUETA,TASA 22,Tradicional,79.0,9.0,20.89,2019,2019-I,2
144184,VEGUETA,NUEVA ESPERANZA,Tradicional,100.0,4.0,22.29,2019,2019-I,1
144193,VEGUETA,TASA 210,Tradicional,90.0,7.0,19.27,2019,2019-I,2
144194,VEGUETA,TASA 218,Tradicional,88.0,7.0,20.59,2019,2019-I,1
144209,CALLAO,TASA 41,Frio,62.0,23.0,19.38,2019,2019-I,7
144205,CALLAO,TASA 424,Tradicional,48.0,17.0,24.67,2019,2019-I,3
144210,CALLAO,TASA 23,Tradicional,55.00000000000001,15.0,22.94,2019,2019-I,3
144213,CALLAO,TASA 419,Frio,63.0,16.0,17.7,2019,2019-I,4
144197,CALLAO,TASA 37,Tradicional,73.0,15.0,23.33,2019,2019-I,3
144178,CALLAO,TASA 57,Frio,46.0,17.0,19.08,2019,2019-I,3
144182,CALLAO,TASA 427,Frio,61.0,13.0,19.15,2019,2019-I,3
144196,CALLAO,TASA 36,Tradicional,93.0,12.0,19.9,2019,2019-I,3
144200,CALLAO,TASA 426,Tradicional,52.0,9.0,19.34,2019,2019-I,2
144183,CALLAO,TASA 34,Tradicional,78.0,9.0,19.87,2019,2019-I,2
144201,CALLAO,TASA 51,Frio,63.0,22.0,15.19,2019,2019-I,4
144241,PISCO NORTE,MODESTO 3,Tradicional,75.0,4.0,20.47,2019,2019-I,1
144238,PISCO NORTE,HUACHO 9,Tradicional,13.0,7.0,19.2,2019,2019-I,1
144232,PISCO NORTE,ZORRITOS 2,Tradicional,13.0,8.0,25.12,2019,2019-I,1
144191,PISCO NORTE,TASA 413,Tradicional,20.0,12.0,26.09,2019,2019-I,2
144198,PISCO NORTE,TASA 414,Tradicional,32.0,13.0,25.72,2019,2019-I,3
144244,PISCO NORTE,MODESTO 6,Tradicional,63.0,10.0,22.54,2019,2019-I,1
144199,PISCO NORTE,TASA 43,Frio,31.0,17.0,21.23,2019,2019-I,2
144211,PISCO NORTE,TASA 44,Frio,27.0,18.0,25.21,2019,2019-I,2
144189,PISCO SUR,TASA 418,Tradicional,24.0,10.0,20.42,2019,2019-I,1
144190,PISCO SUR,TASA 412,Tradicional,31.0,9.0,22.54,2019,2019-I,2
144214,PISCO SUR,TASA 425,Frio,22.0,7.0,20.3,2019,2019-I,1
144192,PISCO SUR,TASA 415,Tradicional,15.0,13.0,24.51,2019,2019-I,2
144187,PISCO SUR,TASA 45,Frio,26.0,13.0,20.57,2019,2019-I,2
144188,PISCO SUR,TASA 417,Tradicional,73.0,14.0,24.28,2019,2019-I,3
144216,PISCO SUR,TASA 54,Frio,40.0,12.0,19.15,2019,2019-I,3
144297,MALABRIGO,TASA 59,Frio,25.0,8.0,22.93,2019,2019-I,3
144300,MALABRIGO,TASA 53,Frio,30.0,14.0,17.345,2019,2019-I,1
144246,CHIMBOTE,TASA 42,Frio,60.0,25.0,21.31,2019,2019-I,4
144267,CHIMBOTE,MI JUAN,Tradicional,96.0,6.0,19.36,2019,2019-I,1
144324,CHIMBOTE,MODESTO 7,Tradicional,70.0,5.0,20.52,2019,2019-I,1
144286,CHIMBOTE,CARLOS Y EDUARDO,Tradicional,45.0,7.0,23.49,2019,2019-I,2
144286,CHIMBOTE,CARLOS Y EDUARDO,Tradicional,49.0,14.0,23.49,2019,2019-I,2
144278,CHIMBOTE,CRISTO TE AMA YE,Tradicional,94.0,8.0,20.32,2019,2019-I,1
144292,CHIMBOTE,PALMAR-2,Tradicional,94.0,9.0,21.09,2019,2019-I,1
144268,CHIMBOTE,MI JESUS SANTOS,Tradicional,96.0,9.0,20.56,2019,2019-I,1
144321,CHIMBOTE,MI BERTITA,Tradicional,88.0,10.0,22.03,2019,2019-I,1
144301,CHIMBOTE,MACABI 10,Tradicional,89.0,10.0,24.86,2019,2019-I,1
144322,CHIMBOTE,TERESA,Tradicional,84.0,13.0,22.81,2019,2019-I,1
144271,CHIMBOTE,ROSA MARIA MS 1,Tradicional,136.0,15.0,25.6,2019,2019-I,1
144270,CHIMBOTE,ROSA MARIA MS 4,Tradicional,93.0,16.0,26.16,2019,2019-I,2
144280,CHIMBOTE,MI JOSUE,Tradicional,37.0,16.0,25.4,2019,2019-I,1
144310,CHIMBOTE,MODESTO,Tradicional,24.0,17.0,24.86,2019,2019-I,1
144335,CHIMBOTE,DON TOMAS,Tradicional,50.0,18.0,25.3,2019,2019-I,1
144273,CHIMBOTE,GUIAME MADRE MIA,Tradicional,37.0,15.0,23.65,2019,2019-I,1
144333,CHIMBOTE,MACABI 1,Tradicional,53.0,18.0,29.3,2019,2019-I,1
144341,CHIMBOTE,MI JOSE LUIS N 2,Tradicional,13.0,14.0,24.59,2019,2019-I,1
144342,CHIMBOTE,BENDICION DEL SEÑOR,Tradicional,22.0,17.0,20.19,2019,2019-I,2
144299,CHIMBOTE,MACABI 5,Tradicional,54.0,18.0,22.9,2019,2019-I,2
144290,CHIMBOTE,MACABI 9,Tradicional,20.0,12.0,27.82,2019,2019-I,1
144325,CHIMBOTE,EL MESIAS,Tradicional,104.0,14.0,24.52,2019,2019-I,1
144295,SUPE,TASA 37,Tradicional,11.0,12.0,25.92,2019,2019-I,2
144259,SUPE,TASA 35,Tradicional,23.0,13.0,27.79,2019,2019-I,2
144283,SUPE,TASA 38,Tradicional,13.0,15.0,24.63,2019,2019-I,1
144298,SUPE,TASA 220,Tradicional,11.0,14.0,23.49,2019,2019-I,1
144308,SUPE,TASA 31,Tradicional,24.0,13.0,20.73,2019,2019-I,3
144255,SUPE,TASA 34,Tradicional,20.0,13.0,24.96,2019,2019-I,3
144274,SUPE,TASA 315,Tradicional,56.00000000000001,11.0,21.29,2019,2019-I,3
144258,SUPE,TASA 22,Tradicional,15.0,12.0,25.58,2019,2019-I,2
144264,SUPE,TASA 218,Tradicional,39.0,11.0,23.31,2019,2019-I,3
144305,SUPE,TASA 32,Tradicional,26.0,9.0,22.05,2019,2019-I,2
144281,SUPE,TASA 310,Tradicional,13.0,9.0,22.52,2019,2019-I,2
144261,SUPE,TASA 21,Tradicional,21.0,5.0,20.15,2019,2019-I,2
144332,SUPE,ROCIO,Tradicional,12.0,8.0,20.99,2019,2019-I,1
144260,VEGUETA,TASA 17,Tradicional,27.0,12.0,25.45,2019,2019-I,3
144288,VEGUETA,TASA 58,Frio,32.0,17.0,20.33,2019,2019-I,5
144294,VEGUETA,SANDRINA,Tradicional,9.0,9.0,19.51,2019,2019-I,1
144309,VEGUETA,TASA 111,Tradicional,25.0,11.0,23.79,2019,2019-I,2
144289,VEGUETA,TASA 314,Tradicional,9.0,11.0,20.83,2019,2019-I,2
144265,VEGUETA,TEO,Tradicional,52.0,10.0,21.42,2019,2019-I,1
144257,VEGUETA,TASA 426,Tradicional,83.0,11.0,19.27,2019,2019-I,3
144263,VEGUETA,TASA 210,Tradicional,36.0,12.0,21.24,2019,2019-I,3
144306,VEGUETA,SANTA ROSA,Tradicional,50.0,10.0,19.69,2019,2019-I,2
144256,VEGUETA,TASA 36,Tradicional,25.0,9.0,19.62,2019,2019-I,3
144266,VEGUETA,JAVIER,Tradicional,71.0,8.0,21.12,2019,2019-I,1
144307,CALLAO,TASA 23,Tradicional,14.000000000000002,9.0,21.21,2019,2019-I,1
144303,CALLAO,TASA 419,Frio,37.0,9.0,19.56,2019,2019-I,2
144319,CALLAO,SAN JUDAS,Tradicional,49.0,8.0,19.37,2019,2019-I,2
144320,CALLAO,SAN JUDAS II,Tradicional,65.0,6.0,20.25,2019,2019-I,1
144317,CALLAO,COQUI XII,Tradicional,22.0,9.0,19.6,2019,2019-I,2
144316,CALLAO,COQUI IX,Tradicional,26.0,9.0,19.6,2019,2019-I,2
144318,CALLAO,MALAGA 1,Tradicional,13.0,8.0,19.85,2019,2019-I,1
144331,CALLAO,ZORRITOS 2,Tradicional,41.0,9.0,19.79,2019,2019-I,1
144343,CALLAO,MODESTO 6,Tradicional,33.0,8.0,18.21,2019,2019-I,1
144313,CALLAO,COQUI II,Tradicional,43.0,12.0,23.29,2019,2019-I,2
144315,CALLAO,COQUI VI,Tradicional,40.0,13.0,23.44,2019,2019-I,2
144282,PISCO NORTE,TASA 417,Tradicional,52.0,12.0,26.09,2019,2019-I,3
144285,PISCO NORTE,TASA 412,Tradicional,52.0,14.0,20.59,2019,2019-I,3
144284,PISCO NORTE,TASA 425,Frio,45.0,16.0,23.2,2019,2019-I,4
144277,PISCO NORTE,TASA 45,Frio,83.0,19.0,25.01,2019,2019-I,4
144279,PISCO NORTE,TASA 413,Tradicional,28.000000000000004,19.0,38.38,2019,2019-I,3
144262,PISCO SUR,TASA 414,Tradicional,51.0,11.0,22.02,2019,2019-I,3
144276,PISCO SUR,TASA 415,Tradicional,37.0,11.0,21.95,2019,2019-I,3
144302,PISCO SUR,TASA 43,Frio,40.0,13.0,18.53,2019,2019-I,3
144287,PISCO SUR,TASA 418,Tradicional,73.0,14.0,26.0,2019,2019-I,3
144296,PISCO SUR,TASA 54,Frio,25.0,16.0,18.87,2019,2019-I,5
144304,PISCO SUR,TASA 44,Frio,46.0,14.0,18.65,2019,2019-I,3
144346,MALABRIGO,TASA 59,Frio,72.0,6.0,21.0,2019,2019-I,2
144339,MALABRIGO,TASA 56,Frio,69.0,6.0,19.91,2019,2019-I,2
144247,MALABRIGO,TASA 71,Frio,70.0,27.0,19.91,2019,2019-I,5
144340,MALABRIGO,TASA 55,Frio,72.0,8.0,20.98,2019,2019-I,2
144348,MALABRIGO,TASA 52,Frio,56.99999999999999,10.0,19.48,2019,2019-I,2
144344,MALABRIGO,TASA 42,Frio,73.0,14.0,20.36,2019,2019-I,3
144362,MALABRIGO,TASA 53,Frio,66.0,15.0,19.1,2019,2019-I,3
144412,CHIMBOTE,MI JUAN,Tradicional,98.0,3.0,19.56,2019,2019-I,1
144403,CHIMBOTE,CRISTO TE AMA YE,Tradicional,97.0,4.0,20.99,2019,2019-I,1
144409,CHIMBOTE,MI BERTITA,Tradicional,88.0,3.0,18.49,2019,2019-I,1
144404,CHIMBOTE,MI JOSUE,Tradicional,100.0,5.0,17.86,2019,2019-I,2
144420,CHIMBOTE,MARISOL,Tradicional,38.0,4.0,14.06,2019,2019-I,1
144418,CHIMBOTE,DON TEOFILO,Tradicional,40.0,6.0,15.49,2019,2019-I,2
144413,CHIMBOTE,DON TOMAS,Tradicional,98.0,8.0,19.16,2019,2019-I,3
144406,CHIMBOTE,ISABEL II,Tradicional,28.000000000000004,7.0,17.57,2019,2019-I,2
144395,CHIMBOTE,MODESTO,Tradicional,34.0,8.0,21.0,2019,2019-I,3
144396,CHIMBOTE,MODESTO 7,Tradicional,74.0,6.0,23.57,2019,2019-I,2
