Marea,Planta,Bodega,# Calas,TDC-Desc,TVN,año,temporada_año
156245,CHIMBOTE,Tradicional,1,12,19.1,2020,2020-I
156253,CHIMBOTE,Tradicional,3,19,23.2,2020,2020-I
156236,CHIMBOTE,Tradicional,4,19,27.9,2020,2020-I
156198,CHIMBOTE,Tradicional,3,17,29.5,2020,2020-I
156256,CHIMBOTE,Tradicional,3,19,29.8,2020,2020-I
156202,CHIMBOTE,Tradicional,3,18,30.6,2020,2020-I
156203,CHIMBOTE,Tradicional,2,19,36.9,2020,2020-I
156238,CHIMBOTE,Tradicional,1,10,16.9,2020,2020-I
156241,CHIMBOTE,Tradicional,2,15,24.1,2020,2020-I
156242,CHIMBOTE,Tradicional,2,13,19.6,2020,2020-I
156188,CHIMBOTE,Tradicional,2,19,27.9,2020,2020-I
156118,CHIMBOTE,Frio,6,47,42.5,2020,2020-I
156153,CHIMBOTE,Tradicional,2,20,30.1,2020,2020-I
156273,CHIMBOTE,Frio,3,18,24.4,2020,2020-I
156335,CHIMBOTE,Tradicional,1,12,32.1,2020,2020-I
156301,CHIMBOTE,Tradicional,1,15,22.6,2020,2020-I
156326,CHIMBOTE,Tradicional,1,18,22.0,2020,2020-I
156306,CHIMBOTE,Tradicional,3,19,23.9,2020,2020-I
156276,CHIMBOTE,Tradicional,2,17,22.0,2020,2020-I
156269,CHIMBOTE,Frio,4,21,22.5,2020,2020-I
156307,CHIMBOTE,Tradicional,2,20,23.3,2020,2020-I
156327,CHIMBOTE,Tradicional,2,19,22.1,2020,2020-I
156338,CHIMBOTE,Tradicional,2,21,23.1,2020,2020-I
156308,CHIMBOTE,Tradicional,2,20,19.7,2020,2020-I
156323,CHIMBOTE,Tradicional,2,16,19.9,2020,2020-I
156312,CHIMBOTE,Tradicional,3,21,31.6,2020,2020-I
156200,CHIMBOTE,Frio,3,27,24.7,2020,2020-I
156300,CHIMBOTE,Tradicional,1,10,39.2,2020,2020-I
156270,CHIMBOTE,Tradicional,2,12,21.9,2020,2020-I
156305,CHIMBOTE,Tradicional,1,9,21.6,2020,2020-I
156304,CHIMBOTE,Tradicional,1,11,21.5,2020,2020-I
156325,CHIMBOTE,Tradicional,1,17,19.3,2020,2020-I
156303,CHIMBOTE,Tradicional,2,17,24.4,2020,2020-I
156399,CHIMBOTE,Frio,2,17,23.4,2020,2020-I
156403,CHIMBOTE,Tradicional,3,20,24.7,2020,2020-I
156380,CHIMBOTE,Tradicional,1,20,23.2,2020,2020-I
